monHPMultiplier,monDmgMultiplier,playerDmgMultiplier,monPartHP,monStatusBase,monStatusBuildup,monStun,monExhaust,monMount
2.0,1.0,1.0,2.5,1.0,1.7000000476837158,2.299999952316284,2.799999952316284,1.0
2.0,1.0,1.0,2.5,1.0,1.7000000476837158,2.299999952316284,2.799999952316284,1.2000000476837158
2.0199999809265137,1.0,1.0,2.799999952316284,1.0,1.7000000476837158,2.299999952316284,2.799999952316284,1.5
2.0299999713897705,1.0,1.0,2.799999952316284,1.0,2.0,2.5,3.0,1.5
2.049999952316284,1.0,1.0,2.9000000953674316,1.0,2.0,2.5,3.0,2.0
2.1500000953674316,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0
2.200000047683716,1.0,1.0,3.0999999046325684,1.0,2.0,3.0,3.0,2.0
2.2200000286102295,1.0,1.0,3.0999999046325684,1.0,2.299999952316284,3.0,3.0,2.0
2.25,1.0,1.0,3.200000047683716,1.0,2.299999952316284,3.5,3.0,2.5
2.25,1.0,1.0,3.200000047683716,1.0,2.299999952316284,3.5,3.0,2.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.5,1.0,1.0,2.0,1.0,2.0,2.5,3.0,1.5
1.5,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0
1.5,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0
2.0999999046325684,1.0,1.0,3.299999952316284,1.0,2.299999952316284,3.299999952316284,3.299999952316284,2.5
2.180000066757202,1.0,1.0,3.5,1.0,2.5,3.5,3.5,3.0
2.190000057220459,1.0,1.0,3.5,1.0,2.5,3.5,3.5,3.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.4800000190734863,1.0299999713897705,1.0,3.5,1.0,2.5,3.5,3.5,3.0
2.5,1.0800000429153442,1.0,3.299999952316284,1.0,2.5,3.5,3.5,3.0
2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0
2.5999999046325684,1.0499999523162842,1.0,3.5,1.0,2.5,3.5,3.5,3.0
1.7999999523162842,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0
2.299999952316284,1.0499999523162842,1.0,3.5,1.0,2.5,3.5,3.5,3.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.4000000953674316,1.0,1.0,3.200000047683716,1.0,2.299999952316284,3.5,3.0,2.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.200000047683716,1.0,1.0,2.5,1.0,2.299999952316284,2.299999952316284,3.0,1.5
2.299999952316284,1.0,1.0,2.5999999046325684,1.0,2.299999952316284,2.3499999046325684,3.0,2.0
2.4000000953674316,1.0,1.0,2.700000047683716,1.0,2.3499999046325684,2.5,3.0,2.0
2.5,1.0,1.0,2.799999952316284,1.0,2.5,3.0,3.0,2.0
2.549999952316284,1.0,1.0,2.8499999046325684,1.0,2.5,3.5,3.299999952316284,2.5
2.549999952316284,1.0,1.0,2.8499999046325684,1.0,2.5,3.5,3.5,2.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.4000000953674316,1.0,1.0,2.700000047683716,1.0,2.299999952316284,2.5,3.0,2.0
2.4000000953674316,1.0,1.0,2.700000047683716,1.0,2.299999952316284,2.5,3.0,2.0
2.4000000953674316,1.0,1.0,2.799999952316284,1.0,2.4000000953674316,3.0,3.0,2.0
2.5,1.0,1.0,2.799999952316284,1.0,2.4000000953674316,3.0,3.299999952316284,2.5
